,filename,label
14374,UC108P69ThinF_IMG_20150924_224909_cell_47.png,1
25609,UC72P33_ThinF_IMG_20150815_104843_cell_194.png,1
2207,PC129P90ThinF_IMG_20151004_133921_cell_115.png,0
25814,UC75P36_ThinF_IMG_20150815_163059_cell_49.png,1
14133,UC105P66ThinF_IMG_20150924_094800_cell_74.png,1
6918,PC182P143NThinF_IMG_20151201_172759_cell_26.png,0
25268,UC68P29N_ThinF_IMG_20150819_134112_cell_8.png,1
23512,UC45P6ThinF_IMG_20151130_160409_cell_85.png,1
7327,PC184P145ThinF_IMG_20151203_103326_cell_144.png,0
6732,PC182P143NThinF_IMG_20151201_172216_cell_189.png,0
18584,UC168P129ThinF_IMG_20151118_154126_cell_43.png,1
23474,UC45P6ThinF_IMG_20151130_155110_cell_179.png,1
6950,PC182P143NThinF_IMG_20151201_172759_cell_55.png,0
1217,PC117P78ThinF_IMG_20150930_222228_cell_82.png,0
3655,PC136P97ThinF_IMG_20151005_143329_cell_93.png,0
8523,PC39P4thinF_original_IMG_20150622_113632_cell_14.png,0
13663,PC99P60ThinF_IMG_20150918_141857_cell_4.png,0
12021,PC82P43ThinF_IMG_20150817_124418_cell_173.png,0
19140,UC176P137NThinF_IMG_20151201_121303_cell_21.png,1
170,PC101P62ThinF_IMG_20150918_151507_cell_60.png,0
1853,PC126P87ThinF_IMG_20151004_104408_cell_166.png,0
15666,UC127P88ThinF_IMG_20151004_111755_cell_41.png,1
3989,PC137P98ThinF_IMG_20151005_163251_cell_61.png,0
15238,UC121P82ThinF_IMG_20151002_133540_cell_35.png,1
25963,UC77P38ThinF_IMG_20150602_112011_cell_76.png,1
1330,PC118P79ThinF_IMG_20151002_105735_cell_144.png,0
16100,UC132P93ThinF_IMG_20151004_152353_cell_29.png,1
25934,UC77P38ThinF_IMG_20150601_155125_cell_16.png,1
11691,PC80P41ThinF_IMG_20150817_111544_cell_127.png,0
13711,PC99P60ThinF_IMG_20150918_142128_cell_80.png,0
4881,PC167P128ReThinF_IMG_20151201_105354_cell_248.png,0
8006,PC189P150ThinF_IMG_20151203_142224_cell_82.png,0
9525,PC56P17thinF_IMG_20150728_160623_cell_146.png,0
4257,PC143P104ThinF_IMG_20151005_230100_cell_160.png,0
8869,PC46P7ThinF_IMG_20151130_210743_cell_154.png,0
24260,UC54P15thinF_IMG_20150728_113006_cell_49.png,1
5701,PC179P140ThinF_IMG_20151127_153420_cell_175.png,0
1095,PC116P77ThinF_IMG_20150930_172112_cell_100.png,0
4246,PC143P104ThinF_IMG_20151005_225454_cell_184.png,0
23274,UC39P4thinF_original_IMG_20150622_110352_cell_42.png,1
3278,PC133P94ThinF_IMG_20151004_155144_cell_115.png,0
22091,UC229ThinF_IMG_20151112_144222_cell_60.png,1
9636,PC59P20thinF_IMG_20150803_112733_cell_178.png,0
21066,UC214ThinF_IMG_20151106_114611_cell_200.png,1
21913,UC226ThinF_IMG_20151112_131622_cell_22.png,1
20476,UC205ThinF_IMG_20151106_151800_cell_54.png,1
25095,UC66P27N_ThinF_IMG_20150818_163419_cell_125.png,1
17112,UC146P107ThinF_IMG_20151018_140044_cell_1.png,1
18570,UC167P128ReThinF_IMG_20151201_110011_cell_75.png,1
7418,PC184P145ThinF_IMG_20151203_103824_cell_136.png,0
14831,UC115P76ThinF_IMG_20150930_162315_cell_218.png,1
5299,PC175P136NThinF_IMG_20151127_141428_cell_227.png,0
21626,UC222ThinF_IMG_20151115_150925_cell_71.png,1
1942,PC128P89ThinF_IMG_20151004_130549_cell_145.png,0
10582,PC68P29N_ThinF_IMG_20150819_133350_cell_161.png,0
2774,PC132P93ThinF_IMG_20151004_152045_cell_139.png,0
21399,UC219ThinF_IMG_20151106_145856_cell_65.png,1
17506,UC152P113ThinF_IMG_20151115_124032_cell_90.png,1
9550,PC59P20thinF_IMG_20150803_111244_cell_182.png,0
13049,PC97P58ThinF_IMG_20150917_151551_cell_165.png,0
1546,PC119P80ThinF_IMG_20151002_123608_cell_151.png,0
9165,PC48P9thinF_IMG_20150721_164031_cell_2.png,0
15219,UC121P82ThinF_IMG_20151002_133001_cell_33.png,1
20928,UC212ThinF_IMG_20151106_105834_cell_234.png,1
3001,PC132P93ThinF_IMG_20151004_152642_cell_6.png,0
22842,UC240ThinF_IMG_20151127_115247_cell_97.png,1
13889,UC101P62ThinF_IMG_20150918_151942_cell_4.png,1
19473,UC181P142ThinF_IMG_20151127_155914_cell_135.png,1
17266,UC148P109ThinF_IMG_20151115_112538_cell_53.png,1
26345,UC82P43ThinF_IMG_20150817_123652_cell_16.png,1
4297,PC144P105ThinF_IMG_20151015_160529_cell_278.png,0
22544,UC236ThinF_IMG_20151127_102115_cell_108.png,1
14248,UC106P67ThinF_IMG_20150924_103811_cell_70.png,1
21734,UC224ThinF_IMG_20151112_111955_cell_173.png,1
11265,PC70P31_ThinF_IMG_20150819_141436_cell_108.png,0
18295,UC163P124ThinF_IMG_20151116_111925_cell_94.png,1
23916,UC4thin_original_IMG_20150608_170038_cell_89.png,1
5342,PC175P136NThinF_IMG_20151127_142009_cell_241.png,0
10053,PC60P21thinF_IMG_20150803_144510_cell_139.png,0
24844,UC62P23N_ThinF_IMG_20150818_133055_cell_177.png,1
17992,UC159P120ThinF_IMG_20151115_190421_cell_98.png,1
23582,UC46P7ThinF_IMG_20151130_210938_cell_48.png,1
26830,UC89P50ThinF_IMG_20150820_162300_cell_82.png,1
24457,UC57P18thinF_IMG_20150729_111518_cell_115.png,1
4642,PC158P119ThinF_IMG_20151115_181136_cell_200.png,0
1300,PC118P79ThinF_IMG_20151002_105125_cell_161.png,0
25484,UC70P31_ThinF_IMG_20150819_141403_cell_50.png,1
7775,PC186P147NThinF_IMG_20151203_150859_cell_170.png,0
9296,PC50P11thinF_IMG_20150724_115651_cell_189.png,0
18967,UC173P134NThinF_IMG_20151130_125408_cell_94.png,1
3877,PC137P98ThinF_IMG_20151005_161659_cell_12.png,0
22180,UC230ThinF_IMG_20151112_150730_cell_155.png,1
6875,PC182P143NThinF_IMG_20151201_172607_cell_38.png,0
2640,PC132P93ThinF_IMG_20151004_151733_cell_185.png,0
7021,PC183P144NThinF_IMG_20151201_222119_cell_141.png,0
10960,PC68P29N_ThinF_IMG_20150819_134712_cell_31.png,0
15156,UC120P81ThinF_IMG_20151002_130150_cell_145.png,1
18150,UC161P122ThinF_IMG_20151116_101626_cell_38.png,1
5469,PC176P137NThinF_IMG_20151201_121030_cell_20.png,0
12192,PC84P45ThinF_IMG_20150818_101412_cell_112.png,0
886,PC116P77ThinF_IMG_20150930_171635_cell_101.png,0
15191,UC120P81ThinF_IMG_20151002_130918_cell_169.png,1
11263,PC70P31_ThinF_IMG_20150819_141436_cell_106.png,0
4330,PC144P105ThinF_IMG_20151015_163432_cell_306.png,0
758,PC116P77ThinF_IMG_20150930_171219_cell_86.png,0
14787,UC114P75ThinF_IMG_20150930_150833_cell_34.png,1
25287,UC68P29N_ThinF_IMG_20150819_134504_cell_37.png,1
18988,UC174P135NThinF_IMG_20151127_135311_cell_58.png,1
24684,UC60P21thinF_IMG_20150803_144003_cell_85.png,1
2819,PC132P93ThinF_IMG_20151004_152257_cell_125.png,0
19275,UC178P139NThinF_IMG_20151201_153246_cell_72.png,1
9172,PC48P9thinF_IMG_20150721_164031_cell_26.png,0
9594,PC59P20thinF_IMG_20150803_111333_cell_155.png,0
1416,PC118P79ThinF_IMG_20151002_110212_cell_9.png,0
23989,UC51AP12thinF_IMG_20150724_153313_cell_43.png,1
22600,UC236ThinF_IMG_20151127_102635_cell_143.png,1
4728,PC159P120ThinF_IMG_20151115_190812_cell_240.png,0
1897,PC126P87ThinF_IMG_20151004_105342_cell_119.png,0
2864,PC132P93ThinF_IMG_20151004_152353_cell_146.png,0
4576,PC156P117ThinF_IMG_20151115_154435_cell_297.png,0
13327,PC99P60ThinF_IMG_20150918_141001_cell_161.png,0
26148,UC7NthinF_IMG_20150611_104510_cell_82.png,1
4667,PC158P119ThinF_IMG_20151115_181859_cell_204.png,0
24285,UC55P16thinF_IMG_20150728_121350_cell_83.png,1
14443,UC109P70ThinF_IMG_20150930_103214_cell_161.png,1
15996,UC131P92ThinF_IMG_20151004_145302_cell_44.png,1
18006,UC159P120ThinF_IMG_20151115_190812_cell_118.png,1
12942,PC97P58ThinF_IMG_20150917_145555_cell_176.png,0
22837,UC240ThinF_IMG_20151127_115247_cell_234.png,1
19401,UC180P141NThinF_IMG_20151201_163702_cell_91.png,1
11138,PC70P31_ThinF_IMG_20150813_130849_cell_78.png,0
3177,PC133P94ThinF_IMG_20151004_154512_cell_122.png,0
5672,PC178P139NThinF_IMG_20151201_155012_cell_151.png,0
2374,PC130P91ThinF_IMG_20151004_135449_cell_127.png,0
26076,UC79P40ThinF_IMG_20150817_102823_cell_7.png,1
15836,UC129P90ThinF_IMG_20151004_134520_cell_35.png,1
6656,PC182P143NThinF_IMG_20151201_172057_cell_169.png,0
26634,UC86P47ThinF_IMG_20150820_124259_cell_189.png,1
6593,PC182P143NThinF_IMG_20151201_171950_cell_192.png,0
16649,UC13NThinF_IMG_20150614_131553_cell_94.png,1
16392,UC137P98ThinF_IMG_20151005_155704_cell_47.png,1
18891,UC172P133ThinF_IMG_20151119_155307_cell_166.png,1
21862,UC225ThinF_IMG_20151112_113953_cell_64.png,1
16136,UC133P94ThinF_IMG_20151004_154512_cell_72.png,1
22630,UC237ThinF_IMG_20151127_104844_cell_17.png,1
16928,UC143P104ThinF_IMG_20151005_225746_cell_92.png,1
2028,PC128P89ThinF_IMG_20151004_131632_cell_166.png,0
6167,PC180P141NThinF_IMG_20151201_165659_cell_10.png,0
19109,UC175P136NThinF_IMG_20151127_142326_cell_150.png,1
2673,PC132P93ThinF_IMG_20151004_151811_cell_154.png,0
22505,UC235ThinF_IMG_20151112_164834_cell_157.png,1
21368,UC218ThinF_IMG_20151106_144228_cell_228.png,1
16995,UC144P105ThinF_IMG_20151015_163142_cell_90.png,1
7109,PC183P144NThinF_IMG_20151201_224107_cell_118.png,0
21048,UC214ThinF_IMG_20151106_114526_cell_136.png,1
9414,PC51AP12thinF_IMG_20150724_155947_cell_96.png,0
8679,PC39P4thinF_original_IMG_20150622_114804_cell_5.png,0
13230,PC99P60ThinF_IMG_20150918_140900_cell_115.png,0
